Class,PAX,Description,Group,Display Order
SS,0.843,Super Stock Street,Stock,1
AS,0.833,A Stock Street,Stock,2
BS,0.831,B Stock Street,Stock,3
CS,0.821,C Stock Street,Stock,4
DS,0.815,D Stock Street,Stock,5
ES,0.814,E Stock Street,Stock,6
FS,0.818,F Stock Street,Stock,7
GS,0.806,G Stock Street,Stock,8
HS,0.797,H Stock Street,Stock,9
SSR,0.86,Super Stock,Stock,10
ASR,0.848,A Stock,Stock,11
BSR,0.845,B Stock,Stock,12
CSR,0.834,C Stock,Stock,13
DSR,0.825,D Stock,Stock,14
ESR,0.828,E Stock,Stock,15
FSR,0.83,F Stock,Stock,16
GSR,0.812,G Stock,Stock,17
HSR,0.804,H Stock,Stock,18
STF,0.801,Street Touring FWD,Touring,19
STC,0.824,Street Touring C,Touring,20
STS,0.829,Street Touring S,Touring,21
STR,0.838,Street Touring R,Touring,22
STX,0.827,Street Touring X,Touring,23
STU,0.846,Street Touring U,Touring,24
SM,0.87,Street Modified,Street Modified,25
SMF,0.851,Street Modified F,Street Modified,26
SSM,0.882,Super Street Modified,Street Modified,27
SSP,0.872,S Street Prepared,Street Prepared,28
ASP,0.866,A Street Prepared,Street Prepared,29
BSP,0.863,B Street Prepared,Street Prepared,30
CSP,0.861,C Street Prepared,Street Prepared,31
DSP,0.855,D Street Prepared,Street Prepared,32
ESP,0.849,E Street Prepared,Street Prepared,33
FSP,0.839,F Street Prepared,Street Prepared,34
XP,0.906,X Prepared,Prepared,35
BP,0.881,B Prepared,Prepared,36
CP,0.864,C Prepared,Prepared,37
DP,0.879,D Prepared,Prepared,38
EP,0.876,E Prepared,Prepared,39
FP,0.883,F Prepared,Prepared,40
GP,0.85,G Prepared,Prepared,41
AM,1,A Modified,Modified,42
BM,0.965,B Modified,Modified,43
CM,0.922,C Modified,Modified,44
DM,0.92,D Modified,Modified,45
EM,0.926,E Modified,Modified,46
FM,0.924,F Modified,Modified,47
FSAE,0.989,Formula SAE,Formula,48
CAM,0.83,Classic American Muscle,CAM,49
SSL,0.843,Super Stock Street,Stock,50
ASL,0.833,A Stock Street,Stock,51
BSL,0.831,B Stock Street,Stock,52
CSL,0.821,C Stock Street,Stock,53
DSL,0.815,D Stock Street,Stock,54
ESL,0.814,E Stock Street,Stock,55
FSL,0.818,F Stock Street,Stock,56
GSL,0.806,G Stock Street,Stock,57
HSL,0.797,H Stock Street,Stock,58
SSRL,0.86,Super Stock,Stock,59
